CountryCode,EN.BIR.THRD.NO,EN.MAM.THRD.NO,ER.MRN.PTMR.ZS,EN.HPT.THRD.NO,ER.LND.PTLD.ZS
MLT,0.0011381743683132257,0.0005871990604815032,0.002991026919242273,0.00026567481402763017,0.0023963133640552995
MHL,0.0006829046209879354,0.0005871990604815032,0.0,0.0,0.004055299539170507
MRT,0.0034145231049396768,0.0049911920140927775,0.321036889332004,0.0,0.010138248847926268
MUS,0.002048713862963806,0.002055196711685261,0.0,0.005977683315621679,0.007188940092165899
MEX,0.013885727293421352,0.028185554903112156,0.015952143569292126,0.026700318809776833,0.0447926267281106
FSM,0.002503983610289096,0.001467997651203758,0.0,0.00026567481402763017,0.05548387096774193
MDA,0.0027316184839517414,0.001467997651203758,0.0,0.00013283740701381508,0.017511520737327188
MCO,0.0,0.0008807985907222549,0.0009970089730807579,0.0,0.4313364055299539
MNG,0.005463236967903483,0.0032295948326482677,0.0,0.0,0.07631336405529954
MNE,0.0031868882312770315,0.0017615971814445098,0.0,0.00013283740701381508,0.047926267281105994
MAR,0.0034145231049396768,0.005284791544333529,0.0,0.002457492029755579,0.0027649769585253456
MOZ,0.006601411336216709,0.004110393423370522,0.01794616151545364,0.005579171094580234,0.2488479262672811
MMR,0.010926473935806966,0.014092777451556078,0.0019940179461615157,0.004051540913921361,0.054746543778801844
NAM,0.006373776462554063,0.004110393423370522,0.004985044865403789,0.0018597236981934113,0.21400921658986174
NRU,0.00045526974732529026,0.0002935995302407516,0.0,0.0,0.0
NPL,0.008194855451855224,0.008807985907222548,0.0,0.0011291179596174283,0.14138248847926266
NLD,0.001821078989301161,0.0008807985907222549,0.21136590229312063,0.0,0.08073732718894008
NCL,0.003642157978602322,0.0026423957721667646,0.005982053838484546,0.01899574920297556,0.11170506912442396
NZL,0.015251536535397223,0.0026423957721667646,0.04685942173479562,0.0013947927736450586,0.4545622119815668
NIC,0.0034145231049396768,0.002055196711685261,0.005982053838484546,0.003055260361317747,0.2842396313364055
NER,0.002503983610289096,0.0035231943628890195,0.0,0.00019925611052072262,0.14267281105990784
NGA,0.0047803323469155475,0.008514386376981797,0.0019940179461615157,0.013084484590860786,0.21327188940092168
MNP,0.003642157978602322,0.0011743981209630064,0.0009970089730807579,0.00033209351753453773,0.02304147465437788
NOR,0.0015934441156385158,0.002348796241926013,0.5044865403788634,0.00019925611052072262,0.32755760368663595
OMN,0.0029592533576143867,0.002935995302407516,0.0,0.00039851222104144525,0.0
PAK,0.007284315957204644,0.007339988256018791,0.01794616151545364,0.0007970244420828905,0.18691244239631338
PLW,0.0011381743683132257,0.0011743981209630064,0.004985044865403789,0.00026567481402763017,0.004608294930875576
PAN,0.005007967220578192,0.004697592483852026,0.03788634097706879,0.01381509032943677,0.33474654377880186
PNG,0.008422490325517869,0.011450381679389313,0.002991026919242273,0.010095642933049946,0.03576036866359447
PRY,0.006146141588891418,0.002935995302407516,0.0,0.0012619553666312433,0.05364055299539171
PER,0.027316184839517414,0.015560775102759836,0.027916251246261216,0.02165249734325186,0.08811059907834101
PHL,0.020259503755975416,0.011450381679389313,0.002991026919242273,0.015874070138150904,0.16092165898617514
POL,0.002503983610289096,0.001467997651203758,0.013958125623130608,0.0006641870350690755,0.20479262672811058
PRT,0.0027316184839517414,0.003816793893129771,0.040877367896311065,0.005379914984059511,0.15428571428571428
PRI,0.001821078989301161,0.0005871990604815032,0.01694915254237288,0.00378586609989373,0.18506912442396312
QAT,0.001821078989301161,0.0005871990604815032,0.0,0.0,0.03225806451612903
ROU,0.004097427725927612,0.002348796241926013,0.014955134596211367,0.00033209351753453773,0.05105990783410138
RUS,0.012292283177782836,0.009395184967704051,0.022931206380857428,0.0037194473963868225,0.09235023041474653
RWA,0.003642157978602322,0.007046388725778039,0.0,0.0005313496280552603,0.16184331797235021
WSM,0.0013658092419758707,0.0005871990604815032,0.004985044865403789,0.00013283740701381508,0.043502304147465434
SMR,0.0,0.0,0.0,0.0,0.0
STP,0.0029592533576143867,0.001467997651203758,0.0,0.0025239107332624866,0.0
SAU,0.004097427725927612,0.002935995302407516,0.005982053838484546,0.00019925611052072262,0.13972350230414746
SEN,0.003642157978602322,0.0049911920140927775,0.08075772681954138,0.0007970244420828905,0.464147465437788
SRB,0.0029592533576143867,0.0017615971814445098,0.0,0.00033209351753453773,0.06820276497695853
SYC,0.002503983610289096,0.0017615971814445098,0.006979062811565304,0.004117959617428267,0.7749308755760369
SLE,0.0034145231049396768,0.0064591896652965355,0.0,0.00431721572794899,0.05105990783410138
SGP,0.003869792852264967,0.003816793893129771,0.0,0.0038522848034006378,0.09990783410138249
SXM,0.0,0.0005871990604815032,0.02567111434553914,0.00013283740701381508,0.14904349978940365
SVK,0.002503983610289096,0.0011743981209630064,0.0,0.0004649309245483528,0.27336405529953917
SVN,0.001821078989301161,0.0017615971814445098,0.0,0.0004649309245483528,0.1336405529953917
SLB,0.005690871841566128,0.005871990604815032,0.0,0.0011291179596174283,0.0011059907834101382
