CountryCode,IndicatorCode,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016
HND,EN.CLC.DRSK.XQ,,,,,,,,3.75,,,,,
HND,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
HKG,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
HKG,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
HUN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
HUN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ISL,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ISL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IND,EN.CLC.DRSK.XQ,,,,,,,,3.25,,,,,
IND,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IDN,EN.CLC.DRSK.XQ,,,,,,,,3.25,,,,,
IDN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IRN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
IRN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IRQ,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
IRQ,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IRL,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
IRL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IMN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
IMN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ISR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ISR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ITA,EN.CLC.DRSK.XQ,,,,,,,,3.5,,,,,
ITA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
JAM,EN.CLC.DRSK.XQ,,,,,,,,3.75,,,,,
JAM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
JPN,EN.CLC.DRSK.XQ,,,,,,,,4.5,,,,,
JPN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
JOR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
JOR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
KAZ,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
KAZ,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
KEN,EN.CLC.DRSK.XQ,,,,,,,,4.0,,,,,
KEN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
KIR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
KIR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PRK,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
PRK,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
KOR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
KOR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
XKX,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
XKX,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
KWT,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
KWT,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
KGZ,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
KGZ,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LAO,EN.CLC.DRSK.XQ,,,,,,,,2.25,,,,,
